PhraseId,SentenceId,Phrase
56464,2834,in to its community
88173,4578,an American director
77075,3965,Roman Coppola 's
96012,5016,opening the man 's head and heart is the only imaginable reason for the film to be made
148376,8074,"sticks , really ,"
99459,5215,you 've paid a matinee price and bought a big tub of popcorn
50792,2498,fleeting brew
68002,3451,since John
70627,3600,cadences
18721,821,'s right
98931,5189,Disreputable doings and exquisite trappings
131608,7091,a speed
129125,6943,'s doing in here
73287,3743,suckers
128300,6903,have a confession to make
17733,768,looks much more like a cartoon in the end than The Simpsons ever has .
85209,4406,"wildly overproduced , inadequately motivated"
74090,3793,"Mr. Deeds is , as comedy goes , very silly -- and in the best way"
66016,3349,portrays their cartoon counterparts
934,34,makers
51889,2559,the beauty and power
30685,1427,to claim that it is `` Based on a True Story
70141,3571,left me behind
18465,810,works understand why snobbery is a better satiric target than middle-America
135586,7323,the same fate
88570,4602,fable from Burkina Faso .
18849,827,an uneasy marriage of Louis Begley 's source novel -LRB- About Schmidt -RRB-
11227,483,shrapnel
67751,3441,extracting the bare bones of Byatt 's plot for purposes of bland Hollywood romance
57717,2909,with his great-grandson 's movie splitting up in pretty much the same way
5986,240,"not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department"
141611,7683,while the third feels limited by its short running time
32124,1504,fluid and quick
143261,7777,"with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers"
84314,4356,bushels
139808,7587,re-create
118469,6329,as valid
74562,3822,still feels somewhat unfinished .
42575,2053,"intense , claustrophobic"
15734,675,job
136609,7385,ends up merely pretentious -- in a grisly sort of way
48796,2383,"ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour"
5775,229,", the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?"
151377,8253,of childhood
100616,5282,"to pass up , and for the blacklight crowd , way cheaper -LRB- and better -RRB- than Pink Floyd tickets ."
38201,1817,Despite the opulent lushness of every scene
25565,1168,I laughed so much that I did n't mind
51589,2543,A dark comedy that goes for sick and demented humor simply to do so .
37483,1779,have to
16768,724,genuine insight into the urban heart
148948,8103,"Loud , chaotic"
115356,6145,51 times
71320,3638,"religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution"
95825,5007,Spirit is a visual treat
69077,3508,his principles
124697,6701,eloquent language
113580,6038,inventive cinematic tricks
36915,1749,within partnerships and among partnerships
127395,6851,it will have an opinion to share
101263,5323,"Children ,"
77232,3973,"the funniest person in the film , which gives you an idea just how bad it was"
51645,2545,Trade
76418,3926,"love , family"
47503,2316,as unoriginal
85957,4447,cackles
68611,3483,A metaphor
13590,583,"its star ,"
102092,5374,"Solaris is rigid and evasive in ways that Soderbergh 's best films , `` Erin Brockovich , '' `` Out of Sight '' and `` Ocean 's Eleven , '' never were ."
41588,2001,requisite screaming captain
108259,5727,of Avon
34796,1637,", confident"
100522,5274,female friendship that men can embrace and
139426,7561,that The Accidental Spy is a solid action pic that returns the martial arts master to top form
46253,2250,girl-on-girl action
122737,6585,to make a hip comedy
121346,6498,single threat
27087,1245,an oddly winning portrayal of one of life 's ultimate losers
83118,4290,"Ludicrous , but director Carl Franklin adds enough flourishes and freak-outs to make it entertaining ."
123501,6631,animatronic display
40643,1945,"a guilty-pleasure , daytime-drama sort of fashion"
133991,7230,of the gong
604,22,a case study
54286,2698,have a great time
31066,1449,"as it searches -LRB- vainly , I think -RRB- for something fresh to say"
55609,2776,than ever
149069,8110,intellectually stultifying
61251,3096,", upsetting glimpse"
60324,3046,"Brazil-like , hyper-real satire"
129329,6954,like an old Warner Bros. costumer jived with sex
28616,1323,as quickly
78984,4064,by Dani Kouyate of Burkina Faso
149078,8112,"Vera has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores ."
78630,4047,A sustained fest of self-congratulation between actor and director that leaves scant place for the viewer .
148573,8084,theorizing
52408,2592,laughed that hard in years
23229,1052,"finely crafted , finely written ,"
55569,2774,"could just rent those movies instead , let alone seek out a respectable new one"
46714,2273,a crime that should be punishable by chainsaw
106677,5634,man John Q. Archibald
85466,4420,of the flick
116545,6214,a film so cold and dead
60362,3048,it is n't even close to being the barn-burningly bad movie it promised it would be
62076,3138,Moulin
71660,3656,otherwise comic
44974,2181,a real filmmaker
134758,7274,becomes lifeless and falls apart like a cheap lawn chair
65240,3302,the atmospheric weirdness
71576,3652,"The most audacious , outrageous , sexually explicit , psychologically probing , pure libido film"
143201,7774,for the optic nerves
155945,8537,that it is laughingly enjoyable
6588,261,some difficult relationships
44064,2135,been an eerie thriller
3941,149,", the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions ."
7458,303,Powers films
74401,3813,Hardly a nuanced portrait
54365,2701,the testimony of satisfied customers
51019,2511,nasty aftertaste but little clear memory
8978,374,off enough
100273,5261,drudgery
49954,2451,Troubling
22503,1017,sledgehammer sap
24512,1114,the same time
14097,607,I do .
91942,4783,Mulan
125716,6754,ever knew about generating suspense
112621,5980,-- far more often than the warfare itself --
31985,1497,A simple tale
60518,3055,"this superficially loose , larky documentary"
129498,6963,and defiant aesthetic
118547,6334,"is that its dying , in this shower of black-and-white psychedelia , is quite beautiful ."
113618,6040,for an old `` Twilight Zone '' episode
148453,8077,to where it began
4405,166,demanding regular shocks and bouts of barely defensible sexual violence to keep it interested
62,1,story
30428,1412,shows off
143766,7802,", it manages to instruct without reeking of research library dust ."
28509,1318,rival vintage Looney Tunes
60750,3068,in every bit as much as life hems
69619,3540,"weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil"
98017,5135,"affair ,"
35938,1696,Take away the controversy
43075,2080,"Far more successful , if considerably less ambitious , than last year 's Kubrick-meets-Spielberg exercise"
134902,7281,"artsy , and even cute"
87488,4539,it captures an Italian immigrant family on the brink of major changes .
146067,7942,driven by a natural sense for what works
98889,5187,plot holes
95607,4993,"Its weighty themes are too grave for youngsters , but"
129254,6951,"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson"
77173,3970,hotels
115988,6182,needs to overcome gaps in character development and story logic
46444,2258,have wrapped things up at 80 minutes
95553,4989,#NAME?
153379,8377,I could just skip it
52247,2581,"The effort is sincere and the results are honest ,"
130147,7008,no arguing the tone of the movie
98420,5159,"While it has definite weaknesses -- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight ."
46226,2250,that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action
15551,667,employs an accent that I think is supposed to be an attempt at hardass American but sometimes just lapses into unhidden British .
42170,2029,of films
101110,5314,be as tiresome as 9 seconds of Jesse Helms ' anti- Castro
21970,984,never cuts corners
9094,380,enigmatic
141334,7666,looking down
25346,1158,'s a bad sign in a thriller when you instantly know whodunit
54963,2738,whiny pouty-lipped poof
17704,766,"A quiet , disquieting triumph"
26543,1217,inability
65224,3301,bibbidy-bobbidi-bland
30291,1407,"Like a skillful fisher , the director uses the last act to reel in the audience since its poignancy hooks us completely ."
127642,6865,viewing discussion
67883,3446,had all its vital essence scooped out and
8020,328,"painfully forced ,"
84421,4366,worthwhile effort
57485,2900,careens from one colorful event to another without respite
130315,7020,"her heroine 's book sound convincing , the gender-war ideas original , or the comic scenes fly"
72707,3714,Wiseman 's previous studies
154212,8426,pretty linear
51952,2563,work better
119521,6390,"Mr. Clooney ,"
134493,7256,slight and obvious effort
24109,1096,alternately raucous and sappy ethnic sitcom
34335,1611,corrupt and hedonistic
92853,4836,terrific setpieces
36984,1751,thematic heft
73762,3772,'s one of the worst of the entire franchise
47202,2300,"is fascinating ,"
115442,6150,drag on
51042,2513,"'s all gratuitous before long , as if Schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story ."
50059,2457,raw dough
109145,5780,"imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful"
115757,6169,satisfyingly odd and intriguing a tale
109354,5791,forgive its mean-spirited second half
103566,5461,every potential laugh
110886,5876,with such unrelenting Dickensian decency that it turned me -LRB- horrors ! -RRB-
5886,235,superficial humour
103752,5470,the only thing that I ever saw that was written down
137116,7416,taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head
74061,3789,rainy
37569,1785,pastry
129198,6948,"A dull , simple-minded and stereotypical tale of drugs , death and mind-numbing indifference on the inner-city streets ."
13894,598,ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail
70323,3584,"You do n't need to be a hip-hop fan to appreciate Scratch ,"
92889,4838,so stilted and unconvincing
30854,1436,Tunisian film I
148876,8099,fails to do justice to either effort in three hours of screen time
99904,5241,"is gone , replaced by the forced funniness found in the dullest kiddie flicks ."
26057,1192,prevails .
56039,2802,the movie is rather choppy .
130275,7017,point the way for adventurous Indian filmmakers toward a crossover into nonethnic markets
38036,1809,Bill Morrison 's Decasia
84800,4386,occupational angst
65724,3332,you ever wanted to be an astronaut
23875,1084,spiffy bluescreen technique and
9937,416,for his performance if nothing else
55027,2741,treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate
130450,7029,What a stiflingly unfunny and unoriginal mess this is !
23276,1054,con job
51834,2557,swept away
121030,6483,"are too strange and dysfunctional , Tom included ,"
154428,8441,Nonchalantly
6341,252,recognized as the man who bilked unsuspecting moviegoers
73350,3748,concerned with morality
50060,2457,dough
47957,2339,past the taboo subject matter
976,36,"the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid"
146024,7941,", the viewer expects something special but instead gets -LRB- sci-fi -RRB- rehash ."
91147,4741,of costly analysis
31286,1461,it 's told with sharp ears and eyes for the tenor of the times
91466,4758,escapism and social commentary
139807,7587,re-create the excitement of such '50s flicks
106277,5611,funny yet
135468,7316,his circle of friends keeps getting smaller one of the characters in Long Time Dead
27660,1270,"Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle"
106911,5645,become a household name
106422,5621,Murphy and Wilson actually make a pretty good team ... but the project surrounding them is distressingly rote .
86277,4467,immediately apparent
25787,1179,those films
141735,7689,Witless and utterly pointless
63587,3219,"even more indistinct than it is were it not for the striking , quietly vulnerable personality of Ms. Ambrose"
56359,2826,The bottom line
42178,2030,A wordy wisp
91746,4774,you 're in the mood for a melodrama narrated by talking fish
46081,2240,by it -- the kind of movie
58501,2948,prescribed
53928,2677,Martyr
62516,3162,that the film is never dull
128635,6919,"of under-inspired , overblown enterprise that gives Hollywood sequels a bad name"
39701,1896,Mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline .
151622,8270,lit by flashes of mordant humor
2351,90,is just a corny examination of a young actress trying to find her way
106464,5623,"Its and pieces of The Hot Chick are so hilarious , and Schneider 's performance is so fine"
119685,6401,children and adults
89929,4679,it right
46665,2271,"Naipaul ,"
99065,5196,'s all about the image .
26216,1201,Here on Earth
70404,3589,"A lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers ."
152264,8308,", lethargically paced parable of renewal ."
37198,1764,called `` Jar-Jar Binks : The Movie
34804,1637,", charming"
136861,7402,I believe Silberling had the best intentions here
105135,5553,"with an intelligent , life-affirming script"
58827,2965,Rowling 's
14961,642,it ultimately delivers
82857,4278,a soul and
51280,2524,starts out bizarre and just
70387,3587,", psychological action film"
134808,7276,with great help from Kevin Kline
94830,4946,gets added disdain for the fact
16509,710,Even a hardened voyeur
22349,1007,worth cheering as a breakthrough
123088,6607,spoofs and celebrates
43294,2091,he staggers in terms of story .
20585,918,asking questions
38094,1811,sappy than Evelyn
55109,2747,a heroine who comes across as both shallow and dim-witted
104277,5501,"good action , good acting ,"
69784,3549,a rush
51779,2554,in something bigger than yourself
953,35,"the runaway success of his first film , The Full Monty ,"
21439,959,of this movie
119654,6400,How about starting with a more original story instead of just slapping extreme humor and gross-out gags on top of the same old crap ?
110136,5832,seen such self-amused trash
84125,4345,Performances are potent
54835,2730,a high enough level
104514,5516,adopts
78018,4016,visually flashy but
77407,3982,be 127 years old
56074,2805,a rancorous curiosity
129723,6979,gritty feel help
6455,256,"art , history , esoteric musings and philosophy"
96277,5028,running for office
101728,5355,works its way
21740,972,creative animation work
71442,3644,even queasy
73667,3767,'s not nearly enough that 's right
94051,4907,a useless movie
118110,6309,The best drug addition movies
95901,5010,of the cultural elite
90830,4726,"stops being clever and devolves into flashy , vaguely silly overkill"
47614,2321,silver-haired
125704,6754,Rosenthal -LRB- Halloween II -RRB-
10936,467,its lavish formalism
651,24,Chuck Norris `` grenade gag ''
125236,6728,", starving and untalented"
138192,7478,"is , in a word ,"
154920,8475,is Revenge Of The Nerds Revisited
142152,7711,a sobering meditation
147988,8055,is the film equivalent of a lovingly rendered coffee table book
116599,6218,A gentle and engrossing character
146497,7970,"does n't sustain its initial promise with a jarring , new-agey tone creeping into the second half"
45355,2205,"charming , banter-filled comedy"
79835,4113,1984 -RRB-
63421,3209,very silly
95910,5010,to proceed as the world implodes
55711,2787,"What little atmosphere is generated by the shadowy lighting , macabre sets , and"
4028,152,heed
4039,152,the action speeds up
61472,3107,make this surprisingly decent flick
1263,47,tricky
111200,5894,The Mask '' was for Jim Carrey
100198,5257,"is a self-aware , often self-mocking , intelligence"
28308,1305,to keep things interesting
